Hutsul,Ukrainian
Вглюзати,Встигнути
Вдавси,Сподобавси
Вдався,Схожий Вродою
Вдався,Не Такий
Вдався,Не Вдався
Вдасци,Сподобається
Вдовец,Удовець
Вельбити,Хвалити
Верг,Метнувся
Вере,Не Знати
Вере,Чи Так Таки
Веремнє,Гарна Погода
Вер'ечи,Вергти
Верже,Кине
Верітка,Домотканий Хідник
Верітка,Стара Доріжка
Вернетси,Вернеться
Вернетси,Повернеться
Вернуси,Вернуся
Вернуси,Прийду
Вернуси,Повернуся
Верства,Однокласники
Верства,Ровесники
Верствачька,Ровесниця
Вертольот,Вертоліт
Вершик,Вірш
Вершик,Віршик
Верьх,Верх
Верьх,Верх Чогось
Верьховина,Верховинський Край
Веселиці,Веселка
Весівні,Весільні Гості
Веснівки,Висип На Обличчі
Вечеріти,Вечеряти
Вечірниці,Вечорниці
Вечірня,Вечірнє Богослужіння
Вечорниці,Вечірні Забави
В'є,Звиває
Вжебрати,Випросити Або Дістати Щось
Вжулити,Вкрасти
Вжьити,Вжати
Взір,Зір
Взяток,Збір Нектару Бджолами
Вибавити,Виховати
Вивалитиси,Викотитися
Вивалитиси,Розлягтися
Вивбиратиси,Гарно Вдягнутися
Виверниця,Повалене Вітром Дерево
Вивилєтиси,Уникати
Вивилєтиси,Уникнути
Вивилєтиси,Ухилятися
Вивид,Обряд Виводу Поліжниці
Вивінувані,Обдаровані
Вигибає,Вимирає
Вигибати,Вигинути
Вигибати,Вимерти
Виглєдати,Виглядає
Вигулити,Випросити
Вигулити,Вициганити
Вид,Від
Видберати,Відбигати
Видбирати,Відбирати
Видволодити,Зм'якшити
Видволодити,Відволожити
Видволодити,Освіжити Вологою
Видельці,Виделка
Виден,Винен
Видє,Бачать
Видкинулиси,Спротивилися
Видкинулиси,Стали Не До Вподоби
Видко,Мабуть Так
Видовишшє,Видовище
Видознати,Провідати
Видойграти,Відіграти
Видорші,Хрещення Ісуса Христа
Видразу,Відразу
Видразу,З Першого Разу
Видро,Відро
Видтив,З Того Кутка
Видужєти,Видужати
Видужєти,Набратися Сил
Видужєти,Одужати
Видурюватися,Дуріти
Виєснилоси,Настає Погода
Виєснити,Вияснити
Вижмакати,Випрати
Вижмакати,Попрати Білизну
Визберати,Визбирати
Визичювати,Позичити
Визичювати,Взяти Позику
Виїснилоси,Стало Світло
Вийгра,Розпусниця
Викапаний,Дуже Подібний
Викєгнути,Витягнути
Виконце,Вічко
Викно,Вікно
Вилица,Щелепа
В'иліг,Видаток
Вилізає,Вилазить
Вимівка,Привід
Вин,Він
Винний,Солодкокислий
Вино,Виноград
Випанаха,Прочуханка
Виприни,Аґрис
Випулєтиси,Витріщатися
Вирадитиси,Порадитися
Вирікєлємувати,Звільнити Від Школи
Вирівнаїтци,Вирівнювати
Вирівнаїтци,Вирівняти
Вирівнаїтци,Зрівняти
Виріжєют,Виряджають
Виріжєют,Відпраляють
Вироблєлисе,Вироблялися
Виробяк'и,Постоли
Вироювати Си,Вилітати Роєм
Висамувати,Випробувати
Висипати,Виливати
Висип'єти Си,Висиплятися
Висікати Си,Вишморгати
Висікати Си,Шморгати
Вислюк,Осел
Вислюк,Віслюк
Вислюк,Ішак
Вислюк,Ослюк
Вистивати,Вистигнути
Вистравне,Проїсне
Витаємо,Вітаємо
Витати,Вітаю
Витати,Здоровлю
Витати,Поздоровляю
Виттепер,Відсьогодні
Виттепер,Віднині
Виходок,Нужник
Виходок,Потребник
Вихоп'єєтси,Вихоплюється
Вици,З Цього Місця
Вицофати,Завернути Назад
Вицофатися,Вибратися
Вичирішни,Вечірнє Молоко
Вичирішни,Вечірнє Сонце
Вичуди,Чудеса
Вишкіритиси,Вишкіритися
Вишнєк,Вишнева Наливка
Вишнєк,Вишняк
Вишпарований,Рівно Обтесаний
Вищіпати,Вищипати
Виюрґати,Розхитати
Виюрґати,Розтелепати
Вібагати,Ставити Високі Вимоги
Вібачєй,Вибачай
Вібачєй,Пробач
Вібіг,Вибіг
Віблі,Зігнуте Смерекове Гілля
Вібль'ик,Кругло Обтесаний Пень
Вібор,Вибір
В'івагом,Поважно
Вів,Віл
Віваковувати,Евакуювати
Віваковуватисі,Евакуюватися
Вівалити,Не Приховувати Статеві Органи
Вівиду,Виведу
Вівів,Вивів
Вівсєнка,Вівсянка
Вівсєнка,Посіви Вівса
Вівсєнка,Вівсяна Крупа
Вівсьинка,Вівсяна Каша
Вівчірьи,Вівчарі
Вівчірьи,Пастухи Овець
Вігадати,Вигадати
Віганьити,Виганяти
Вігідне,Вигідне
Вігнати,Вигнати
Віговіти,Відпостити
Віговіти,Дотриматися Посту
Віговорюватисі,Виговорюватися
Вігода,Сприятливі Умови
Вігодувати,Вигодувати
Вігравати,Вигравати
Вігудіти,Скоро Вирости
Віда,Новина
Віддаласі,Вийшла Заміж
Відданнячко,Заміжжя
Відданнячко,Шлюб
Віддатисі,Вийти Заміш
Відвічальний,Відпові­Дальний
Відвічальність,Відповідальність
Відволодь,Воднистий Сніг
Відгалакувати,Виголошувати
Відгалакувати,Відспівати
Відганьити,Відганяти
Відганьити,Відгонити
Відгарувати,Тяжко Відпрацювати
Відгарувати,Виконувати Важкі Роботи
Віддєчітиси,Віддячити
Віддєчітиси,Віддякувати
Від'їжджьити,Від'їжджати
Від'їжджьити,Вибувати
Відказатисі,Відмовитися
Відкигнути,Відбуксирувати
Відків,Звідкіля
Відків Годь,Звідки Небуть
Відколідувати,Відколядувати
Відколідувати,Закінчити Колядувати
Відлежіти,Відлежати
Відлежітисі,Відлежатися
Відлом'ювати,Від­Ломити
Відлупити,Відлупцювати
Відлупити,Сильно Побити
Відлюдіник,Відлюдник
Відмолюватисі,Випрошуватися
Відмороженє,Відморожен­Ня
Віднайти,Відшукали
Віднайти,Зна­Йшли
Віднище,Спеціально Викладене Місце Під Складання Сіна Або Снопів
Віднище,Подині
Відоб'єси,Відіб'ється
Відоб'єси,Негативно Позначитися
Відозвати,Відкликати Документи
Відознати,До­Відатись
Відолльити,"Поливаю­Чи Холодною Водою, Привести До Тями Людину, Яка Впала В Обмарок"
Відорші,Хрещення Ісу­Са Христа
Відосовня,Освітлений Сонцем Схил Гори
Відоспати,Проспати
Відоспатисі,Добре Виспатися
Відосцати,Відссати
Відператисі,Відмов­Лятися
Відплакати,Оплакати
Відповідаї,Відповідає
Відпроважьити,Від­Проважати
Відпроважьити,Провести
Відпушінє,Прощення Гріхів
Відраня,З Самого Ранку
Відрікатиси,Відрек­Тися
Відрікатиси,Відмовлятися
Відтановитиси,Від­Годуватися
Відтановитиси,Відпочити Після Перевтомлення
Відтогди,Відтоді
Відтогди,З Тих Пір
Відтогди,З Того Часу
Відумерлий,Залишений В Спадок
Відумерлий,Успадкований
Відумерти,Залишити В Спадок
Відхлипнути,Відхлебту­Вати
Віжідатисі,Дуже Довго Прагнути Чогось
Віжлувати,Передбачати
Віжлувати,Прогнозувати
Віжмакати,Випрати Білизну
Віжмакати,Пожмакати
Віжмакати,Попрати
Візерований Фостик,Краватка
Візнати,Взнати
Вікад,Будз
Віказати,Вигово­Рити
Вікажу,Виговорю
Вікажу,Викажу
Вікажу,Скажу
Вік'ар,Сухий Сир
Віко,Кришка Труни
Вікоренити,Викоренити
Вікоренити,Висмикати
Вікорінювати,Викорінювати
Вікохати,До­Глянути
Вілетів,Вилетів
Віліз,Виліз
Вілітали,Вилітали
Вілічінє,Вилікування
Вілічінє,Виздо­Ровлення
Вілічіти,Вилікувати
Вілічітиси,Вилікува­Тися
Вілія,Величезна Хата
Вілія,Осо­Бняк
Вілія,Багатська Будова
Вільшинє,Молодий Віль­Ховий Ліс
Вімикати,Виривати
Вімітати,Вимітати
Вімітати,Заміта­Ти
Вімітати,Підмітати
Вінда,Ліфт
Віно,Придане
Вінчєтиси,Вінчатися
Вінчєтиси,Одружуватися
Вінчувати,Віншувати
Віорендувати,Взяти В Оренду
Віорендувати,Орендувати
Віпадайи,Випадає
Віпадайи,Не Виходить
Віпадайи,Нема Можливості
Віпадайи,Не Складається
Віпасати,Випасати
Віпитувати,Запитувати
Віп'овчовало Си,Здійснилося
Віп'овчовало Си,Збулося
Віпрехтикувати,Ввести В Практику
Віпрехтикувати,Спрактикувати
Віпустити,Випустити
Віпустити,Упустити Щось З Рук
Вір,Кінь Нечище­Ний
Вірабльити,Виро­Бляти
Вірабльити,Виготовляти
Вірвати,Вирвати
Віріхтувати,Відремонту­Вати
Віріхтувати,Добудувати
Віробєли,Виготовляли
Віробєли,Випускали
Віробєли,Виробляли
Вісадити,Висадити
Вісипувати,Ви­Носити
Вісипувати,Висипати
Віссати,Виссати
Вісти,Вісті
Вісти,Новини
Вісти,Повідо­Млення
Вісукати,Висе­Лити З Помешкання
Віступ,Виступ
Вітліша,Гірша
Вітліша,Квола
Вітренє,Провітрювання
Вітренє,Осві­Ження
Вітручювати,Витручува­Ти
Вітручювати,Виштовхувати
Вітручювати,Тручєти
Вітрьихнути,Висохнути
Вітрьихнути,Підсохнути
Вітрьихнути,Підсушитися
Вітчєна,Батьківщина
Вітчєна,Вітчизна
Вітчьим,Вітчим
Вітчьим,Нерідний Батько
Віучювати,Вчити
Віучитис'е,Вивчитися
Віучитис'е,Здобути Освіту
Віфалити,Вихвалити
Віфалити,Вихваляти
Віфлеєм,Вифлеєм
Віхапати,Виловити
Віхльопати,Розлити
Віхованє,Виховання
Віходют,Виходять
Віхтувати,Харчувати
Вічєтати,Вичитати
Вічьне,Вічне
Вішивані,Вишивання
Вішиванка,Вишиванка
Вішитий,Вишитий
Відштудеровувати,Вигадувати
Відштудеровувати,Видумувати
Відштудеровувати,Пропонувати Винаходи
Відштудеровувати,Шліфувати Свою Майстерність
Вішшюн,Віщун
Вішшюн,Провидець
Вішшюн,Ясновидець
Віщий,Передбачливий
В'їд,Зурочення
В'їд,Наврочити
Вкимилосі,Набридло
Вкимилосі,Надоїло
Вкимилосі,Надокучило
Вкурач,Димарь
Вкурач,Обкурювач
Влазєєси,Вміщається
Влазєєси,Заходить
Влазєєси,Проїзджає
Влежітисі,Влежатися
Влежітисі,Сплюснутися
Влежітисі,Ущільнитися
Влікі,Вліті
Влікі,Уліті
Вогники,Кукуци
Водица,Водичка
Водіний,Водяний
Возний,Судовий Виконавець
Войсько,Армія
Вокшіна,Вощина
Володи,Дрож
Волокі,Шнурки В Постолах
Волоссє,Волосся
Вонит,Смердить
Вонити,Довго Щось Робити
Вонючка,Брудна Людина
Вонючка,Нечистоплотна Людина
Воробчьик,Горобчик
Ворог-Пізмашь,Завзятий Ворог
Вороплян,Літак
Воротє,Брама
Воротє,Ворота
Ворох,Міра Дров
Восько,Військо
Вохкий,Вологий
Вохкість,Вологість
Впереваж,В Основному
Впереваж,Здебільшого
Впереваж,Переважно
Вперід,Вперед
Вперід,Уперед
Вповідати,Розказувати
Вполудне,В Обідню Пору
Вполудне,Опівдні
Вражіння,Враження
Вражіння,Почуття
Вроки,Лихий Погляд
Всєке,Всяке
Всєке,Усяке
Всєке,Різне
Всу,Всю
Всу,Усю
Втераник,Рушник
Вуглі,Залишки Ватри
В'їзати,Розпочати Будівництво Хати
В'їсти,Уректи
В'їстиси,Знервувати Когось
Вуйко,Старший Чоловік
Вулица,Вулиця
Вулица,Дорога
Вуша,Вошка
Вушя,Воша
Вцірєтиси,Усміхатися
Вчєси,Вчаться
Вчєси,Навчаються
Вчєтилька,Учителька
Вчєтилька,Освітянка
Вчюют,Почують
Вшінькатися,Застебнутися
Вшито,Закінчено Шиття
Вшито,Пошито
Вшкремітки,Вщент
Вшкремітки,Дощенту
Вшукати,Вшахрувати
Вшукати,Обдурити
Вшукати,Обрахувати
Габа,Пінисті Хвилі На Річці
Габ'а,Хвиля На Воді
Габов,Жди
Габов,Чекай
Габувати,Зупинка Спуску Дерева По Ризах
Габучьит,Нівечить
Габучьит,Підважує
Гавора,Велика Яма
Гавора,Вирва
Гадав Сми,Був Упевнений
Гадав Сми,Думав
Гадав Сми,Надіявся
Гадє,Гадюки
Гадж'уґа,Молода Смерека
Гаджючка,Молода Ялиця
Гадкую,Гадаю
Гадкую,Думаю
Гадкую,Міркую
Гадкую,Розмірковую
Гаєвий,Лісовий Сторож
Гаєвий,Побережник
Газдіўство,Господарка
Гайда,Гайдамака
Гайдарага,Палка Для Побиття За Провину
Гайдук,Слуга В Пана
Гайно,Лігво
Гайно,Лігвище
Гайно,Леговище Ведмедя
Гайт'аж,Без Перерви
Гайт'аж,Безупину
Гайт'ови,Полювання
Гайтов'ати,Полювати
Гайтувати,Довго Трудитися
Гайштук,Собачий Нашийник
Гакарі,Троси З Дроту
Гакувати,Сковувати
Гакь,Гребля
Гакь,Загата
Гакь,Клявза
Галабурдити,Бити Бомки
Галайда,Бродяга
Галайда,Бездомний
Галайкати,Галакати
Галайкати,Голосно Розмовляти
Галайстра,Стовпище
Галапас,Дармоїд
Галапас,Нахлібник
Галапасництво,Дармоїдство
Галиця,Ворона
Галька,Майка
Гальман,Тиснява
Гандель,Продаж
Гандель,Торг
Гаразди,Достатки
Гатаман,Отаман
Гачуга,Висока Смерека
Ге,Шо? Що?
Гебан,Ебенове Дерево
Гейби,Мов
Гемблювати,Продавати
Генде,Ось Де
Генделик,"Той, Що Має Торгову Точку"
Генделик,"Заклад, Де Торгують Пивом"
Гентиш,Забійник
Гентиш,Масар
Гентиш,Різник Худоби
Геренда,Сволок
Герлічка,Мандатор
Гибабка,Повитуха
Гибіти,Втрачати Силу
Гибнути,Дуже Прагнути
Гибнути,Дуже Хотіти
Гившнути,Втрутити
Гидитисі,Гидувати
Гидитисі,Мати Відразу
Гилити,Рекомендувати
Гимн,Гімн
Гирєни,Горяни
Гирішний,Аналогічний
Гирска,Гірська
Гиря,"Буйна, Пишна Чуприна"
Гиря,Образл
Гиря,Стара Дівка
Гитиця,Китиця
Гитиця,Гудзик
Гитиця,Прикраса Кептаря
Гіблівки,Деревостружка
Гіўчьинонька,Дівчинонька
Гідности,Гідності
Гікати,Бештати
Гікати,Ганити
Гікати,Пакалити
Гір'єнка,Горянка
Гірский,Гірський
Гірсточька,Жмінька
Гірсточька,Пушечька
Гісь,Гість
Гірчєвіти,Гірчавіти
Гірчєвіти,Псуватися
Гія,Тоже
Гліх,Будяк
Глотитисі,Створювати Натовп
Глотитисі,Тіснитися
Глотитисі,Юрбитися
Глухман,Людина З Вадами Слуху
Гляба,Неможливо
Гнида,Паразит
Гний,Гній
Гнильик,Прогнилі
Гноїўка,Гноївка
Гноїўка,Місце Для Гною
Го,Йього
Говирля,Говерла
Говільниці,"Жінки, Шо Говіют"
Говіркувати,Балакати
Говіти,Постити
Говіют,Постять
Говоренє,Бесідувані
Говорєт,Говорять
Говоритьи,Спілкуватися
Годен,Здатен
Година,Затяжна Негода
Годованец,Вихованець
Годованец,Прийомна Дитина
Годованец,Утриманець
Годованка,Утриманка
Годованці,Вихованці
Годованці,Утриманці
Гоїтси,Гоїться
Гоїтси,Заживає
Гоїтси,Зарубцьовується
Гойданка,Гойдалка
Гойдати,Заколисувати
Гойдати,Хітати
Гойдатиси,Гойдатися
Головиця,Джерельна Вода
Головництво,Вбивство
Головництво,Убивство
Голодова,Голодна
Голомшивий,Галасливий
Голомшивий,Голосистий
Голопці,Голубці
Гольфа,Рана
Гомівка,Гомілка
Гонвед,Угорський Солдат
Горєни,Верховинці
Горєни,Жителі Регіону Гуцульщини
Гони,Великі Земельні Ділянки
Гонир,Гідність
Гонир,Порядність
Гонир,Чесність
Гонитиси,Займатися Сексом
Гонитисі,Бігти За Кимось
Гонір,Гордість
Гонір,Самоповага
Гонір,Честь
Гончєр,Гончар
Гончєр,Виробник Глиняного Посуду
Горбун,Горбатий Чоловік
Горєче,Гаряче
Горєче,Тепле
Горівчєний,Напід­ Питку
Горішє,Верхів'я
Горішна,Верхня
Горн,Комінок
Горобцьи,Горобці
Городовина,Городина
Готар,Кордон
Грабар,Гробар
Грабар,Гробокопач
Грабивник,Грабіжник
Граблєр,Грабляр
Граблинє,Граблище
Грань,Жаринки
Грань,Розжарені Вуглинки
Греблі,Граблі
Греция,Греція
Грєдка,Грядка
Грибар,Грибник
Грибарь,Грибар
Гриза,Проблеми
Гриза,Турботи
Гринзити,Смітити
Грициха,Дружина Григорія
Грідочник,Грядочка Біля Хати
Грідушки,Нагрудна Частина Кептаря
Грізд,Чіп
Грінка,Відрізана Скибка Хліба
Грінка,Невеликий Шматок Хліба
Грозно,Китиця Винограду
Грозно,Кирстка
Груба,Вагітна Жінка
Губи,Гриби
Гудити,Робити Зауваження
Гудувати,Давати Їсти
Гудувати,Кормити
Гукля,Згр
Гулити,Надурювати
Гулити,Обманювати
Гулі-Гулі-Гулі,Його Вживають Для Кликання Голубів
Гупнувси,Вдарився
Гупнутиси,Вдаритися
Гурма,Скупчення Людей
Гуц,Бервено
Гуцулєта,Гуцулята
Гуцулив,Гуцулів
Гуцуликі,Гуцули
Гуцулскє,Гуцульське
Гуцулский Кінь,Гуцульський Кінь
Гущір,Простуда
Ґаджуґа,Смерічка
Ґайда,Великий Пес
Ґалка,Брикетик Цукру
Ґамба,Стара Вівця Або Корова
Ґандура,Стрий Кінь Або Кобила
Ґанити,Гудити
Ґанити,Докоряти
Ґарувати,Тяжко Працювати
Ґатункова,Породиста
Ґвавт,Біль Душі
Ґвавту!,Б'ємо На Сполох! Рятуйте!
Ґе Шо?,Що?
Ґеліґонка,Гармошка
Ґельґови,Сільськогосподарське Знаряддя
Ґерданики,Низинки
Ґерданики,Силянки Вітань
Ґирла,Льоха
Ґирла,Свиноматка
Ґівочьила,Дівувала
Ґідо,Дід
Ґілетчина,Гелета
Ґіло,Нечисте Діло
Ґіло,Гріх
Ґільниця,Ліска
Ґіти,Нащадки
Ґльобин,Крем Для Взуття
Ґміна,Сільська Управа
Ґодза,Фурункул
Ґодза,Черяк
Ґонта,Дошечний Покрівельний Матеріал
Ґорґілі,Жоржини
Ґорґоші,Плечі Людини
Ґречна,Ввічлива
Ґречна,Галантна
Ґречна,Чемна
Ґринджоли,Маленькі Санки
Ґринджоли,Санчата
Ґрунь,Верх Гори
Ґулінє,Данці
Ґулінє,Гульки
Ґумка,Стирачка
Ґуст,Бажання Чогось
Ґута,Дорога З Рейковою Колією
Ґуцулійо,Гуцуліє
Ґьиґнути,Раптово Вмерти
Ґьорґіна,Жоржина
Ґюґ,Різкий Сморід
Ґямбата,Сварлива
Ґямбата,Язиката
Даві,Сьогодні Зранку
Даві,Зраня
Даўні,Давні
Даўні,Старожили
Даўні,Предки
Давнійше,Давно
Давнійше,Раніше
Давнічко,Досить Давно
Давнічко,Дуже Давно
Далший,Дальший
Данцівник,Танцювальник
Дарабанити,Сторопіти
Дармовиси,Кутаси На Сардаці
Дарунок,Подарок
Дачка,Збори
Дверцєта,Дверцята
Двійчистий,Двійний
Двійчистий,Двоподібний
Двоєка,Двояка
Двоєкий,Двоякий
Дейких,Деяких
Дейких,Декотрих
Деклярація,Декларація
Делінь,Далечінь
Делінь,Незабаром
Делічко,Далеченько
Дергати,Чесати Волокно
Дерев'єна,Дерев'яна
Дерев'єнка,Дерев'яна Миска
Деревіти,Дрижати
Деревіти,Трястися Від Холоду
Деревіти,Ціпеніти
Дереворізбленє,Дереворізьблення
Дерехтор,Ватаг
Дерехтор,Начальник
Держє,Підтримують
Держє,Тримають
Держєк,Тримач
Держєти,Підтримувати
Держєти,Тримати
Держєтиси,Триматися
Держєтиси,Міцно Стояти
Дефензива,Відступ
Дефензива,Захист
Дефензива,Оборона
Дефензивний,Оборонний
Дєдя,Рідний Батько
Джбан,Дзбанок
Джерга,Домоткана Ковдра З Вовни
Джерга,Старий Ліжник
Джємори,Чагарники
Джіґа,Залізний Гак
Джомба,Корова
Джуміґа,Гомілка З Тушки Яловичини На Холодець
Джур,Картопляна Юшка
Джюгний,Чепурний
Джюпинитиси,Чепуритися
Джюрджя,Сварка
Дзвенєт,Дзвонить
Дзвілниці,Дзвінниця
Д'земни,До Землі
Д'земни,На Землю
Дзерно,Зерно
Дзиґарок,Будзик
Дзілінькало,Дзвінок
Дзімброні,Пуща
Дзімброні,Скеля
Дзьобок,Вершечок Смерічки
Дзюбок,Дзьоб
Дивикоси,Дивися
Дивикоси,Гляди
Дивикоси,Поглянь
Див'юси,Дивлюся
Див'юси,Розглядаю
Див'юси,Споглядаю
Див'юси,Спостерігаю
Див'ютси,Дивляться
Дижма,Дохід
Дикта,Папиндека
Дикунки,Рови
Дикунки,Шанці
Димало,Сечовий Міхур
Диспонувати,Розпоряджатись
Дихавишний,Хворий На Астму
Диханія,Жива Природа
Дишлі,Дишель
Діалект,Говірка
Дівер,Чоловіків Брат
Дівчінєші,Дівчинка
Дідизнина,Родинна Спадщина
Дідинец,Подвір'я Біля Плебанії
Дізріти,Доглянути За Кимось
Дійкі,Дійки
Діямант,Діамант
Діяспора,Діаспора
Д'мині,До Мене
Днєна,Днина
Днински,День У День
Днинцке,Цілоденно
Добритити,Доголити
Довбанка,Назва Танцю Гуцулка На Путильщині
Довбач,Дєтіль
Довбач,Дятел Поковтач
Довержте,Додайте
Довержте,Докиньте
Довірє,Довір'я
Довг,Борг
Довжник,Боржник
Довлєгу,Доупаду
Догаджєти,Слугувати
Догобувати,Дошкулювати
Дознаку,В Міру
Докінутисі,Доторкнутися
Докінчьити,Викінчити
До Лаби,До Одного
До Лаби,Аби Не Було Жядного
Долів,Униз За Течією
Долішнє,Низинне Село
Долішшя,Низинна Місцевість
Долобанка,Вид Скрипки
Долобанка,"Скрипка, Видовбана З Суцільної Дошки"
Долучєти,Долучити
Долучєти,Добавити
Долучєти,Додати
Долучєти,Приєднати
Донтя,Донька
Донтя,Дочка
Доповістувати,Дорозказувати
Допевнювати,Запевнювати
Дора,Паска
Дорник,Пробойник
Дорник,Керн
Досегодне,До Цього Дня
Дос'єткувати,Досвятковувати
Достойатисі,Вистояти В Черзі
Достойатисі,Дочікуватися
Дошечькє,Дощечка
Дощьи,Дощі
Драбинє,Драбини
Драниці,Дранка
Дрантивий,Пірваний
Драча,Здирство З Селян
Дримба,Щипковий Музичний Інструмент
Дріб,Грудка
Дріб,Дрібні Тварини
Дрібонький,Дрібненький
Дрібонько,Дрібненько
Дрікь,Дріт
Друґаний,Суканий
Друлювати,Свердлити
Друшка,Дружка
Дряпачька,Зношена Мітла
Дряпачька,Стара Мітла
Дубелтові,Подвійні
Дуґоніти,Бігати
Дуґоніти,Гримати
Дуґоніти,Тупотіти
Дуґоніти,Ходити Важкою Ходою
Дуґонют,Шумлять
Дужітиси,Боротись
Дужітиси,Змагатись
Дуїси,Гнівається
Дуїси,Сердиться
Дурленина,Овеча Хвороба
Дурнєчка,Легка Нажива
Дуфай,Покладайся
Дуфати,Корпати
Дуфати,Накорпати
Душкувати,Задихатися Від Спеки
Душший,Здоровіший
Душший,Міцніший
Душший,Сильніший
Дьидик,Татусь
Дьикую,Діковать
Дьирехторька,Директор
Евіденція,Облік
Еґзамент,Екзамен
Еґзамент,Іспит
Едем,Рай
Ей,Уживають Аби Привернути Увагу
Ей-Га,Як Невдоволення
Ей-Де,Та Ні
Екзекуція,Покарання
Експлйоатація,Експлуатація
Експресний Мід,"Мед, Відкладений Бджолами В Соти З Цукрового Сиропу"
Електровня,Міні Гідроелектростанція
Еліґанский,Елегантний
Ельєн,Будьмо!
Ельєн,Слава
Ельєн,Хай Живе!
Енкавеесівец,Службовець Кдб
Ерстити,Тримати До Хресту
Єблінковий,Яблуневий
Єблучька,Яблучка
Єблучько,Яблучко
Євлєтиси,З'явитися
Євлєтси,З'являться
Євна,Наявна
Євна,Явна
Єгипетники,Єгиптяни
Єгоди,Ягоди
Єдерний,Приємний
Єдно,Одне
Єдности,Єдності
Єзик,Язик
Єзичьок,Язичок
Єк Даст Бог,"Як Дасть Бог, То Так І Буде"
Єким,Яким
Єким,Котрим
Єкшо,Як Так
Єліўка,Телиця
Єліўка,Ялова Корова
Єлова,Ялова
Єлова,Ялинова
Єлоси,Відповідно
Єлоси,Пасує
Єлоси,Початок Підготовки
Єлоси,Приступити
Єлоси,Розпочати
Єма,Вибій
Єма,Западина
Єнгелія,Євангелія
Єнших,Інших
Єрмаркувати,Базарювати
Єрмарок,Базар
Єрмарок,Ярмарок
Єскьинє,Печера
Єснеє,Ясне
Єснеє,Світле
Єсніскь,Світло
Єсніскь,Яскравість
Єсніскь,Зоря
Єтрити,Розізлити Когось
Жадні,Жодні
Жадні,Ні За Яку Ціну
Жарівка,Електролампочка
Жбухнути,Зірватися
Жбухнути,Сильно Вдарити
Жданка,Чекання
Желізняк,Зимовий Сорт Яблук
Жерела,Джерела
Жерела,Жили
Жерела,Нори
Жереп,Яловець Звичайний
Жереп,Женєпин
Жертівлива,Жартівлива
Жертун,Гуморист
Жєберина,Жабуриння
Жєбка,Жабка
Жєдний,Жадний
Жєдний,Ненаситний
Жєдний,Вижаданий
Жєдної,Жодної
Жєдної,Ні Одної
Жєдоба,Жадоба
Жєлавки,Варикозне Розширення Вен
Жєлибні,Жалібні
Жєлибні,Сумні
Жєлибні,Траурні
Жєлібно,Жалісно
Жєлібно,Тужливо
Жєлісливий,Жалісливий
Жєлісливий,Натруджений
Жєлоба,Сум
Жєлоба,Траур
Жєло,Жало Бджоли
Жєло,Жало
Жєлувати,Банувати
Жєлувати,Жалкувати
Жєлувати,Шкодувати
Жєль,Втрата
Жєх,Переляк
Живенько,Жваво
Живий Вогонь,Вогонь У Стаї На Полонині
Живний Чітверь,Великий Четвер
Жигало,Розпечено Залізо
Жиденє,Єврейська Дитина
Жидівське,Єврейське
Жидюки,Євреї
Жиєт,Живе
Жила,Підземне Джерело
Жинка,Вірна Супутниця Життя
Жинка,Дружина
Житечко,Жито
Жичка,Червона Вовняна Нитка
Жиют,Мешкають
Жиют,Проживають
Жмакане,Пране
Жмаканє,Прання Білизни
Жмачєти,Прати Білизну
Жнец,Жнець
Жнікати,Чямкати
Жовтінниця,Жовтуха
Жовтінниця,Жовтяниця
Жолобец,Рівець
Жолобец,Стічна Канава
Жонатей,Залицяльник
Жонатей,Претендент У Любаси
Жоначь,Одружений Чоловік
Жужукало,Гра Біля Небіжчика
Жупа,Копальня Солі
Жура,Важкі Почуття
Жура,Сильні Переживання
Жьиб'ївські,Жаб'євські
Жьихло,Аналогічно
Жьихло,"Досконало, Так Само"
Жядна,Жодна
Жядна,Ні Одна
Жядний,Всякий
Жядний,Жоден
Жядний,Кожен
Забавна,Цікава
Забавно,Копітко
Забагти,Забагнути
Забамбурений,Набурмосений
Забамбурений,Надутий
Забамбурений,Задуманий
Забамбурений,Приморочений
Забандажувати,Забинтувати
Забандажувати,Зробити Перев'язку
Забашити,Зацікавити
Забашити,Розвеселити
Забеспечінє,Забезпечення
Забеспечінє,Утримання
Забогато,Більше Від Потреби
Забогато,Набагато Більше
Забудованє,Забудова
Забудованє,Господарські Споруди
Забурикаласи,Забуяла
Забутати,Зашпортуватися
Забутати,Спіткнутися
Забутіти,Заридати
Забутьи,Забуття
Заважєє,Заважає
Заважєти,Заважати
Заважєти,Перешкоджати
Заведія,Організатор
Заведія,Привідець
Завгоді,Передчасно
Зав'єзала,Зав'язала
Завити,Скавулити
Завити,Зробити Пов'язку
Завіз,Глота
Заводєт,Ведуть
Заводєт,Заводять
Заводєт,Спричиняють
Завонила,Засмерділа
Завонила,Зачулася
Завороть,Головокружіння
Завороть,Запаморочення
Заворочьити,Морочити Голову
Заворочьити,Набридати
Завсігди,Завсіди
Завтри-Ка,Завтре
Завурдитиси,Перетворитися На Сир
Загар,Запалення Вимені Корови Або Вівці
Загилити,Заправити Високу Ціну
Загилити,Ставити Надто Високі Вимоги
Загимзіти,Заворушитися
Загнуздачіти,Замучити
Загнуздачіти,Пригнобити
Загойкати,Закликати
Загойкати,Запросити
