Ukrainian,Hutsul
Фіцхелауров знову підійшов до неї,Фіцхелауров знову підійшов ід ню.
"А друга — думав: ""Дешево..","""А друга — гадав сми: ""Тано.."""
Андрій зітхнув: — Цілком можливо..,Андрусик зітхнув: — Цалком бізівно..
"Та щось і не чути, щоб до неї привозили лікарів","Та шиш і ни чюти, абесте ід ню привозили лікарів."
Так вона ж її з'їла,Йо уна ж ї з'їла.
"— Є м'ясо, борошно, черешні…","""— БУЮТ мнєсо, мука, черешні…"""
Чи ти вірний мій друг,Ци тьи вірний мий друг.
І на що йому миска-ложка,І на шо йиму миска-лижка.
"— Гарна, кажу, моя пригода","— Файна, ка'у, моя трафунок"
Що ви мені там розказуєте!.,Шо ви мені тут розказуєте!.
І це ти його посиротив,І цисе тьи го посиротив.
"Я перейшов до своєї ""келії""","ЙА перейшов ід свеї ""келії""."
— Але ж це безглуздя,"""— Айбо ж цисе нікчемство""."
Потім йому стало шкода Бориса,Витак йиму стало жєль Бориса.
Це горіла моя перша любов,Цисе горіла моя першя люба.
Так і роблять ці хлопці,"Йо, бо і роб'єт отсі хлопці, як вміють."
Так пливли вони через ріку,Йо пливли уни чіріз ріку.
Як би ти тоді почувався,Єк би тьи тогди почувавсь.
"Після цього наші ловці вирушили додому, щоб встигнути на кутю","Післідь сего нашинські ловці вирушили ід'хаті, абесте вглюзати на кутю."
"Спитав так, ніби це він питав як суддя на трибуналі","Спитав йо, отік цисе вин питав єк сендзій на трибуналі."
Хлопець знизнув йому вслід плечима,"Хлопец аж на лици обмінивси, так то си йиму ни вдало, шо сторонский чоловік помав йиго за брехуна, хоть він шшіру правду говорив."
І нічого не хочуть знати,І нич не хотє кібзувати.
Це можуть знати тільки друзі..,Цисе можуть кібзувати іно приєтели..
Поки що з камери ч,Заків шо з камери ч.
День п'ятий   Готель як готель,Днина п'ятий   Фотель єк фотель.
Додому він вертався зовсім спокійний,Ідучи він вертався прем спокійний.
"— Ти думаєш, він боягуз","""— Тьи думаєш, вин страшків син."""
"— А так, так є..","— А йо, йо буют.."
Роман опритомнів і почав кричати,Ромко опритомнів і йик кричєти.
Але не тільки це підганяло,Айбо не іно цисе підганяло.
"Видно було, що йому все те, з чим він бабрається тут, безмежно набридло, гнітить його","Видко було, шо йиму всьо тото, з чим вин бабрається гир, безмежно вкимилосі, гнітить го."
"Ну, й чорт його бери","Ну, й мольфар го озьми."
Щоб кожен пораював хоч трохи,"""Ібесте жядний пораював хоч маленько""."
Йому стало до всього байдуже,Йиму стало ід всього байдужне.
"Вечір став чудово гарний, величавий..","Вечєр став файно файний, величавий.."
"— Вийшов зарано,— сказав він посміхаючись,— щоб швидше тебе побачити","""— Війшов зарано,— сказав вин посміхаючись,— абесте борше тє уздріти""."
"Оце так-так, просто он як","Шо йо-йо, просто адьи єк."
"Скажу тобі: не риба, не м'ясо, а щось наче гриб..","Вікажу тобі: ни клень, ни мнєсо, а шош гей єшник.."
"Це його, сучого війта, робота","Цисе го, сучого війта, праця."
Гинути через якийсь капосний мішечок…,Здихати чіріз йикийс капосний мішечок…
"Петро бачив, що бідолаха говорить зовсім не те, що думає","Піть гет, Петро бачив, шо сарака балакає прем не тото, шо думає."
"— Я до тебе,— сказав Микола.— Там щось залишилося перекусити","""— ЙИ ид тє,— сказав Микольцьо.— Генде шош залишилоси перекусити""."
"Бо я тут, бачиш, один","Бо йи гир, бачиш, один."
— Сковує тебе ця робота,"""— Сковує тє ся праця""."
А тепер це легко зробити,А тіпер цисе лігше зробити.
"Вони ж, здається, без зброї","Уни ж, отєк, біс зброї."
Ми причепилися до його борту,Ми причипилися ід го борту.
"Губа йому тіпалась, а очі..","Варга йиму тіпалась, а сліпаки.."
Чого вони від нього хочуть!!,Чьо уни вид нього хотє!!
Справжній він чи теж перевертень,Справедливий вин ци теж перевертень.
Тата ждуть: як станеться що..,Тато чікають: єк станетьсми шо..
"Ще б добавити: ""дівчина Наталка""","Шє б долучєти: ""чєрса Наталка""."
"Ех, якби мені науки трохи","Ех, коби мені науки маленько."
ще ж я-м і молода,"Шє ж йа-м і книгині, то сховаласи мижи чєлідьов у куті, на запічку."
Нічого такого я не думаю,Нич такого йа не гадкую.
"Хто знає, чи доведеться зустрітись","Хьто знаї, ци доведетьси зустрітись."
"Як усі, так і я","Єк усі, йо і йа."
"Я тоді не чув жодної під собою землі, ніби скрізь був пух або саме повітря","ЙА тоди не чув жєдної під собов землі, отік изкрізь був пух альбо акурат люфт."
Прокинувся Степан так само непомітно,Прокинувсь Штефан йо само непомітно.
"Не тому, що це танки","Ні тимунь, шо цисе танки."
"2[2] Харциз — розбійник, грабіжник","2[2] Харциз — грабивник, грабивник."
"Хто видів його, той меч","Хьто видів го, тамтой меч."
Сіно там… і дощ барабанить…,Псєнка генде… і дошь барабанить…
"Звідси, зі шляху, геть, швидше!.","Вици, зі шляху, гет, борше!."
"Ось прийде він до неї, жалюгідний селюк серед галасливого міста..","Леда прийде вин ід ню, жалюгідний селюк мижи галасливого міста.."
А як же ти думав?,А єк же тьи гадав сми?
Тільки Богдан мовчки стояв осторонь,Іно Богданчик мовчки стояв оподаль.
"Сумно стало, Я пішов додому","Банно стало, ЙА пішов ід'хаті."
Листа цього вигадати не можна,Листа сего вігадати не можна.
"І вона повзає, як хробак","І уна повзає, єк червак."
— Але мені тоскно сьогодні,— Айбо мені тоскно сьогодні.
— Він дуже знервований сьогодні,"""— Вин моц знервований сьогодні""."
Жінки й діти все прибували,Чєлідь й ґіти всьо прибували.
Віднині він буде самим собою,Вин собов буде самим собов.
Без них ми — ніщо,Бес них ми — ничьо.
Справжній вавилонянин має триматися свого,Справедливий вавилонянин має держєтиси своєго.
Як він має тут поводитись,Єк вин має гир поводитись.
"То, я вам скажу, край!!","Та, йа вам вікажу, країчок!!"
Тепер вона нікуди не годна,Тіпер уна нікуда не годна.
Тоді Санькові прийшла раптом ідея,Тогди Санькові прійшла нараз ідея.
"Ой, як же ми надибалися?","Ий, єк же ми надибались?"
"Кажу: ""Ото — ми внизу","""Ка'у: ""Ото — ми понизьше""."
Але все це — минуле,Айбо всьо цисе — минуле.
"А мій корабель, як життя невимовне, Тоді пропливатиме, таїни повний","А мий шіфа, єк житє невимовне, Тоді пропливатиме, таїни оповний."
"Тільки без містики, будь ласка","Іно бес містики, будь кітічка."
Той швидко здався а цей..,Тамтой борзо здався а цес..
Я не мав що відповісти,"Йикий за порєдний, то хоть най и зараз здоймет йиму нивмиваний голов, то я ни питаю."
"Залиш мисочку, я потім принесу","Най-си мисочку, йа витак принесу."
Сьогодні була нібито його черга..,Сегодне була нібито го джєрга..
— Мати звеліла бігти додому,— Неня звеліла бічі ід'хаті.
"Все чоловік на щось надіється!""",Всьо хлоп на шош надіється!
Він не годен логічно думати,Вин не годен логічно дуфати.
Світ за очі — бігти,Сьвіт за сліпаки — бічі.
Вражіння від всього те саме,Вражіння вид всього тото акурат.
"Така дурниця, як ніж, не може відгородити від мене Сева","Така байка, єк брич, ни годен відгородити вид мене Сева."
"Вдосвіта, ледве забіліє, треба навідатися","Найранше, дебя забіліє, тре навідатися."
"Отже, кохання тут не буде","Отєж, люба гир не буде."
"Чую, вже смерть мені скоро","Чую, вже авс мені борзо."
Приведіть його раніше до порядку..,Приведіть го давнійше ід порядку..
— Звідкіля він тут узявся,"""— Відків вин гир узявсми-си""."
"Цікаво, що ж прийде тоді","Вере, шо ж прийде тогди."
Тепер–то вже вам боятися нічого…,Тай нас тіпер вам боєтиси нич…
— Так це той Грицько,"""— Йо цисе тамтой Грицько""."
Чи тобі ще треба розжовувати,Ци тоби шє тре розжовувати.
— Багато; від змія залежить,"""— Велико; вид фиса залежить""."
А це було таки щастя,А цисе було прем шєстє.
Ось він — справжній терорист,Леда вин — справедливий терорист.
"Хто знав, що ти такий","Хьто знав, шо тьи такий."
Це так нібито тут викликають,Цисе йо нібито гир викликають.
Пальці його впинаються в коліна,Пушки го впинаються в гоголі.
— Є тут одна бестія,"""— БУЮТ гир онна бистія""."
Я тобі так багато сказала,Й тобі йо велико сказала.
— Що ж він тепер,"""— Шо ж вин тіпір"""
— Ві говорить як секретар,"""— Ві балакає як секретарька""."
"Дякую, що ти вислухав мене","Дєкую тобі, шо тьи вислухав мене."
Я не мав сили говорити,ЙА не мау сили приказувати.
— А що тут знайомитися,"""— А шо гир знайомитисі."""
Щось давно поколює в плече,Шош давнійше шпилєє в плече.
"Я боюсь, що вовки таки насядуть, як побачать його слабість","ЙА боюсь, шо вовки прем насядуть, єк побачать го бола."
Це ніби хтось говорив інший,Цисе отік хтось говорив инчий.
— Це такий маленький хлопчик,"""— Цисе такий міціцький хлопчіші""."
Так і хочеться його провітрити,"""Йи і кіртит го провітрити""."
— Скільки це мені коштує,— Кілько цисе мині кіштує
"Подивимось, що ти заспіваєш там..","Подивимось, шо тьи заспіваєш генде.."
"А ведмежа хлипало, мов дитина","А тулук хлипало, гейби бахурчік."
"Там росте мореля, слива, яблуко","Генде росте мореля, сливка, єблуко."
"— А навіщо це ""треба""","— «А нашьо цисе ""тре""»."
Навіщо придумувать ще одне сонце,Нашьо придумувать шє єдно сонце.
"Чи не та, що він прогнав від себе, як повію","Ци ни та, шо вин прогнав від сибе, як повію."
Глянути йому в очі би,Зиркнути йиму в сліпаки би.
"Так це — що, скажіть","Йо цисе — шо, скажіть."
Я думаю — славний хлопець,ЙА гадкую — славний хлопець.
"Га, як я злапав його","Га, єк йа злапав го."
"А що вона там, Рузя?""","""А шо уна генде, Рузя?"""
Ось так скінчився перший день,Леда йо скінчивсми перший днина.
"Але й зараз я ще не певний, що це ви","Айбо й зараз йа шє не певний, шо цисе вуй."
"Я сказала: ""Він не пройдисвіт...""","ЙА сказала: ""Вин не джєвлюга..."""
"— П'ять буде, або шість..","""— П'єть буде, альбо шіст.."""
"Краще смерть, аніж отаке життя""","Крашше авс, аніж отаке житє."
"О, вже є мета бійки","АДЬИ, вже буют бажанє бійки."
Тут Микола встав і вийшов..,Гир Микольцьо встав і війшов..
Зараз буде за двадцять восьма,Зараз буде за двайціть осма.
Вже недалеко — ось він,Вже блишше — леда вин.
"Перемагав себе, як тільки міг","Переміг себе, єк іно міг."
Може ж бути надзвичайне щастя,Годен ж абиде надзвичайне шісті.
Але вони не можуть інакше,"""Айбо уни ни можуть инак"""
"Добре, що обоє на грошах","Єлоси, шо вбоє на грошах."
Синиця знає про цей лист,Синиця знаї про цес письмо.
Залишився один Кирило Лукич там,Залишивсми оден Кирило Лукич генде.
Макар глянув назад через плече,Макар зазівнув взад чіріз плече.
Ось-ось заженуть його в ворота,Леда-леда заженуть го в воротє.
"Але він, Максим, однак не мав на вибір нічого ліпшого","Айбо вин, Максим, прецінь ни має на вібір нич ліпшого."
"А може, я люблю Тодосія?!""","А годен, йа люблю Тодосія?!"
Нехай поживе тут до весни,Най поживе гир ід весни.
Та його швидко закрила хвиля,Та го борзо закрила филя.
Щастя — це духовне здоров’я,Шєстя — цисе духовне здоров’йа
Але те все повите таємницею,Айбо тото всьо повите таємницею.
"Іноді буває гарно, як зараз","Іноді буває айно, єк зараз."
Отож і справді кінець мороці,Отєж і варе амінь мороці.
Тут ніде нічого не видко,Гир ніґде нич не видко.
Петра це бажання опанувало цілком,Пітра цисе хіть опанувало цалком.
Але це виявилося щойно згодом,Айбо цисе виявилося щойно ділінь.
Так вони оглядали хвилин десять,Йо уни оглядали хвилин десіть.
— Знімати поки що недоцільно!.,— Знімати заків шо недоцільно!.
Я добрів аж до бункера,ЙА добрів аш ід бункера.
"Цей, мабуть, окремо, партійною борозною""","Цес, відав, поєдинче, партійною борозною."
"Яка там діалектика, чому вплелося в його думки це слово","Ика генде діалектика, чьо-сте вплелося в го здохи цисе слово."
"Ні-таки, — вже сьогодні Святвечір","Ні-прем, — вже сьогодні Свєтвечір."
"Отже, надвечір ми провернем діло","Отєж, надвечір ми провернем інтерес, шо то буде."
"Тоді ""білі"", а тепер ""червоні""","Тогди ""білі"", а тіпер ""чірвоні""."
Не витерпів чоловік: вийшов геть,Не витерпів хлоп: війшов гіт.
— Чому зник так раптом,— Чьо-сте зник йо нараз
— Аж ти он де,— Аш тьи адьи де.
Як то він тепер поживає?.,Єк він тіпер поживає?
"Я люблю, як шепоче загата","""Ий люблю, єк шепоче гакь."""
"Ну добре, що знайшов тебе","Ну єлоси, шо знайшов тє."
Ти тут не маєш коріння,Тьи гир не маєш коріньичко.
"але то все було ще тільки від вибухів, що наближалися","Айбо то всьо було шє іно вид вибухів, шо наближались."
її незмінне грала одна балерина,"""Ї незмінне играла онна балерина."""
Ще до ранку Васильченко помер,Шє ід ранку Васильченко ґеґнув.
"Стій, собако, я тебе шльопну","Гальт, собако, йа тє шльопну."
"""А може, він випробовує мене?""","""А годин, вин випробовує мене?"""
"Біг якийсь чи, може, льот","Біг йикийс ци, годен, льот."
"А може, дорога була зайнята","А годен, вулиця була зайнята."
І за що він мучиться,І за шо вин мучєєси.
— Ще не йдуть тато,"""— Шє ни идут дєдя""."
Потім він вийшов із кімнати,Витак він вишов із кімнати.
— Та як не знати,— Та єк не кібзувати.
Місяць вийшов вище на небо,Місіц війшов вишшє на небо.
"Я помітив, що він випивши","ЙА помітив, шо вин випивши."
"Вона ще грубша стала відтоді, як він її бачив востаннє","Уна шє грубша стала відтогди, як він її бачив востаннє."
Я ходив понад бортом задуманий,ЙА ходив поверх бортом забамбурений.
Аж тут Журба на порозі,Аш гир Гриза на порозі.
— Але цього вже немає,"""— Айбо сего вже не суть""."
Я все ваше діло знаю..,ЙА всьо ваше інтерес знаю..
— Я все знаю напам'ять,"""— ЙА всьо знаю напамніть"""
"Чути, як стікають останні хвилини","Чюти, єк стікають послідні хвилини."
— Я через годинку повернуся,"""— ЙІ чіріз годинку вірнуси""."
Після цього Андрія відправили назад..,Післідь сего Андрія відправили взад..
І здуру почав писати оповідання..,І здуру єв шрайбати оповіданє..
Тепер він був зовсім молодець,Тіпер вин був прем молодєць.
Це все йде до кращого,Цисе всьо йде ід кращого.
Це ж тільки від Уралу,Цисе ж іно вид Уралу.
Це він перший провістив О,Цисе вин перший провістив АДЬИ.
"Немає мудріших, ніж народ, учителів","Не суть мудріших, брич нарід, учителів."
"Власне, він нічого не думав","Власне, вин нич не гадав сми."
Але то не так просто,Айбо то ни йо просто.
Навкруги наче навмисне стало малолюдно,Наоколо гей назбитки стало малолюдно.
Бригада не може цього витерпіти,Бриґада не годен того витерпіти.
До Львова я сяк-так добрався,Ід Львова йа сяк-йо добравсми.
"— Жаль, що немає чим","""— Жєль, шо ни суть чим""."
"Він мовчав, тільки курив багато","Вин мовчав, іно курив велико."
Тут вони й полювали гуртом,Гир уни й полювали намішма.
Але не дістають вони нічого,Айбо не дістають уни нич.
Це все-таки в рідному місті…,Цисе всьо-прем в рідному місті…
Тепер я Гривастюка слухав абияк,Тай тіпер йа Гривастюка слухав абиєк.
Левко — це інша справа,Левко — цисе иньша інтерес.
Ми провели його до поїзда,Ми провели го ід поїзда.
Одна за все бурлацьке життя!),Інна за всьо бурлацьке житє!)
— Он що вам треба,"""— Адьи шо вам тре"""
— Мені це не потрібно,— Мині цисе не тре.
"Написавши, він все-таки не йшов","Написавши, вин всьо-прем не йшов."
— Хочете щось цікаве побачити,— Хочете шош кортєчє уздріти
Яка ж з неї користь,Ика ж з ню хосен.
"Так, ти мені не відповіси","Йо, тьи мені не відповіси."
"Але він зціплює зуби й іде далі, розробляючи дикий план","Або він зціплює клянці й іде далі, розробляючи дикий плян."
Це ще одна трагедія Галичини,Цисе шє онна трагедія Галичини.
"Але шануйся, потому інакше ти..","Айбо шануйся, потому инак тьи.."
"Держись, може, виживеші Ми всі, як кажуть, поганяєм до ями","Держись, годен, виживеші Ми всі, єк говорєт, поганяєм ід гели."
А що ти тут робиш,А шо тьи гир робив.
"А командир, якби ти бачив..","А фебр, коби тьи бачив.."
"Адже ви хочете курити, так","Прецінь ви хочете пахтолити, йо."
І без того досить там..,І бис того доста гинде..
Це сталося приблизно через тиждень,Цисе трафилося приблизно чіріз тиждень.
"Ця людина попереджає Остюка, щоб він покинув ходити до Лоретти","Ся людьина попереджає Остюка, абесте вин покинув нягати ид Лоретти."
"Вони маленькі, але дуже горді","Уни малі, айбо моц горді."
Це майже кожної ночі відбувається,Цисе єкмай кожної ночі траф'єїтси.
Від того справді важко звільнитись,"Відко, шо лиш так пудно їм кустер горит виддаватиси."
"Куди так пізно несе тебе?""",Куди йо пизно несе тє?
Але поки що його за вуха ніхто ще не тримав,Айбо заків шо го за вуха ніхто шє не тримав.
Зверху вивів косо: Іван Загатний,Зверьхи вівів косо: Иван Загатний.
"Як усі, так і я","Єк усі, йо і йа."
Дівчина — одна на мільйони,Чєрса — онна на мілійони.
Є ще порох в порохівницях,БУЮТ шє ковпіт в порохівницях.
Архітектор невдовзі помер від сказу,Архітект невдовзі ґеґнув вид сказу.
А зараз це найбільше дратує,А зараз цисе найбілше дротує.
Чи ти ще живий десь,Ци тьи шє живий десь.
Що вона в мені побачила?,Шо уна в мене побачила?
"Можливо, я під ним сплю""","Бізував, йа під нім сп'ю."
Вибери собі краще якийсь інший..,Вибери собі крашше йикийс инчий..
Потім тут був військовий клюб,Витак гир був комісний клюб.
У мене тіло швидко гоїться,У мени кіло борзо гоїтси.
"— ""Це неможливо"",— сказала я","""— ""Цисе гляба"",— сказала йа""."
Це стародавня резиденція великих хижаків,Цисе старовіцька розоденція великих хижаків.
"Він заговорив так швидко по-італійському, що я нічого не зрозуміла","Вин заговорив йо борзо по-італійському, шо йа нич не зрозуміла."
Аж мені ваших грошей шкода..,Шош мині ваших грошей жєль..
— і жваво заходився працювати,— І живенько єв працювати.
"Чекати, поки повернеться Таїса Юріївна","Попіждати, заків вернетси Таїса Юріївна."
— Ваше ім'я й прізвище,"""— Ваше мнє й порекло""."
Потім треба перебудувати ще корабля,Витак тре перебудувати шє корабля.
А ще ж скільки інших!..,А шє ж кілько єнших!..
"Так, з неї немає виходу","Йо, з ню не суть виходу."
Вам–бо з неї яка вигода,Вам–бо з ню ика хосен.
"Брати звелися назустріч, як мур","Братя звелися зістріт, як мур."
"Тільки не так перейнакшене, як того слід було б сподіватися","Іно ни йо перейнакшене, єк того пощік було б надіватиси."
"— Так що немає, брат","— Йо шо не суть, братчіку."
"Казатимеш, що ти мій племінник","Казатимеш, шо тьи мий племінник."
— Завтра ще одна комісія,"""— Завтре шє онна комісія""."
"(це вже ""о"" від діда)","(цисе вже ""адьи"" вид діда)"
Недалеко від лісу стояла хатка,Блишше вид лісу стояла хатьиночька.
Там ще є близькі люди,Генде шє буют близькі люди.
"— Я вагався, чи йти мені до замка, чи залишитися","""— ЙИ вагавсми, ци ити міні ід замка, ци зістати""."
"Все більше схиляюсь до того, що це він, а можливо, того так прагла моя душа","Всьо бірше схиляюсь ід того, шо цисе вин, а бізівно, того йо прагла моя содухи."
Пасмо підходило аж до Пашкова,Сутуга підходило аш ід Пашкова.
І чи вони це зрозуміють?!,І ци уни цисе зрозуміють?!
"Низ чорний, а стеля зелена–зелена…","Пониж чорний, а софіт зилиненька–зилиненька…"
— Що вони там робитимуть,"""— Шо уни генде робитимуть""."
"Так, все йде до кінця","Йо, всьо йде ід кінця."
"— Кажу йому, що було","""— Ка'у йиму, шо було""."
Це сталося раптово й непередбачено,Цисе трафилося нагло й непередбачено.
І чи вони це простять?,Ци уни цисе простять?
Вони зумисне про це говорять,Уни зумисне про цисе говорєт.
Він подібний до покійної дружини,Вин скапенний ід покійної дружини.
Киндзя все не може пустити,Киндзя всьо ни годен пустити.
"Вона довела те, що й належало довести: земля може бути спільною, як вода і повітря","Уна довела тото, шо й належало довести: земля годен абиде спільною, єк ара і люфт."
"— Ого, швидко подіяло, глянь","— Антьиресно, борзо подіяло, подиви-ко си"
Вавилонське вогнище вирізнялося з–поміж інших,Вавилонське ватра вирізнялося з-мижи єнших.
Він сідає за інший роман,Вин сідає за инчий ромко.
Так він охрестив цю споруду,Йо вин охрестив цисю споруду.
Він теж нічого не знає,Вин теж нич не знаї.
"— Їж на здоров'я, синку","""— Їж на здоров'ячько, саняку""."
Але то так тільки здалося..,Айбо то йо інче здалося..
І він той кінець приймав,І вин тамтой амінь приймав.
Спека важко стуляла йому повіки,Горєц тєжко стуляла йиму повіки.
Так тоді ж любов справжня,Йо тоді ж люба справжня.
"— Дід Кіндрат, перша бочка","""— Ґідо Кіндрат, першя бочівка""."
До Загатного ми ще повернемось,Ід Загатного ми шє вернемось.
"Слухайте, що я вам скажу","Слухайте, шо йа вам вікажу."
"Є один момент, коли птах щастя сідає на землю, — тоді його треба й ловити","БУЮТ оден мент, коли пташок шєстє сідає на землю, — тогди го тре й ловити."
— Ти недалеко від правди,"""— Тьи блишше вид правди""."
"І ти, синку (до Григорія)..","І тьи, саняку (ід Григорія).."
"Добре, виходить, що всі вчили","Єлоси, виходить, шо всі учили."
"Не так, може, ноги мерзнутимуть..","Не йо, годен, ноги мерзнутимуть.."
Щоб потім бачити їхні муки,Абесте витак пизнати їхні муки.
Цілими днями вони сидять нишком,Цілими уногди–ка уни сидю нишком.
Мені іноді вас так шкода,Мині іноді вас йо жіль.
Проте багато днів вони змарнували,Прецінь велик днів уни змарнували.
"Іди, дитино, я тебе навчу..","Иди, дитино, йа тє навчу.."
"О, він тут не сам","АДЬИ, вин гир ни сам."
Так він набагато скорочував шлях,Йо вин набагато скорочував гостинець.
Чи ж я кепська молодиця,Ци ж йа кепська чілідина.
"Розумію, що вам боляче це чути, але повинна сказати правду","Розумію, шо вам боляче цисе чюти, айбо повинна зговорити правду."
"Бачать нове, бо хочуть бачити","Видє нове, бо хотє пизнати."
Ледарям б'ють зуби до останнього,Ледарям б'ют клянці ід останнього.
Вони прийшли знову до хати,Уни прийшли знову ід хати.
"Так той учитель завжди поспішав, як оце я з романом","Йо тамтой учітель водно поспішав, як оце йа з романом."
Григорій потяг вірьовку до комори,Гриць льокайка вірьовку ід комори.
"Пізніше виявилося, що все неправда, але зразу це подіяло убивчо","Витак виявилося, шо всьо ниправда, айбо зразу цисе подіяло убивчо."
"Наказую стріляти по кожному, хто..","Наказую стрілєти по кождим, хьто.."
"Вийшов коваль, за ним жінка","Війшов ковач, за ним чілідина."
— Чи це так важливо,"""— Ци цисе йо важливо""."
Більше він нічого не сказав,Бірше вин нич не сказав.
"""А таки, мабуть, мав рацію!..""","А прем, відав, мау рацію!.."
"Вони думають, що він встане","Уни думають, шо вин встане."
Чому я тобі так вірю,Чьо-сте йа тобі йо вірю.
Мій чоловік поїхав роботу шукати,Мий хлоп поїхав роботу шниріти.
Потім вона присіла зв'язувати книжки,Витак уна присіла зв'язувати книжєчькє.
В тебе також народився син-первісток,В тє також родєўси саняка-первісток.
Вони її облягли й чекають..,Уни ї облягли й чікають..
Це хтось підставний..— Рік народження,Цисе хтось підставний..— Рик народжіня.
Вона приходила до мене тінню,Уна приходила ід мене тінню.
Його залишити ніяк не можна,Го оскочити ніяк не можна.
"Ось йому і хочеться кинути камінь у цю заводь, підняти людей на якесь гаряче діло","Леда йиму і кортит шпурити камінь у цисю заводь, здоймити людей на йкес горєче інтерес."
— Звідкіля ти це знаєш,"""— Відків тьи цисе знаєш""."
Що б його ще зробити,Шо б го шє зробити.
"Спершу зустрічати, а тоді проводжати","Спершу стрічєти, а тогди віріжьити."
Ніби це була її професія,Отік цисе була ї професія.
Вони тихо й інтимно сидять,Уни ціхо й інтимно сидів.
"точнісінько так, як брав ягнят","Снісько йо, єк брав ягнят."
"Ти зараз такий, що, може, вони й зглянуться на тебе","Тьи зараз такий, шо, годен, уни й зглянуться на тє."
Тут поблизу співа один поет,Гир блиско співа оден поет.
"Я подумав, що ти спиш","Ий, думав, шо тьи спиш."
"""Так це не той Гуралик?""",Йо цисе не тамтой Гуралик?
Але він не крикнув так,Айбо він не крикнув йой.
Не хотів вимовити її ім'я,Не хотів вимовити ї мнє.
Ти мені друг чи ні,Тьи мині друґ ци ні.
"Він проходив площами, як господар","Вин проходив площами, як ґазда."
Та раптом — що це,Та й шо цисе.
У мене є його книжки,У мене буют го книжєчькє.
"Що він накоїв, цей Йосиф","Шо вин накоїв, цес Йосиф."
Тут всюди однаково чигає смерть,Гир изкрізь однаково чигає авс.
Вони там десь отак ідуть,Уни генде десь отак идуть.
"Тут все, брат, понаписувано правильно","Гир всьо, брат, понаписувано ріхтіґ."
"— Візьми, я не ворожка","— Озьми, йа ни баба."
А тут ще й гість,А гір шє й гісь.
"Тільки, мабуть, там позаливало вже..","Іно, відав, генде позаливало вже.."
Чи не одвести її додому,Ци не одвести ї ід'хаті.
— А лихий її знає..,— А пустий ї знаї..
"Яр, повний снігу, і тільки","Шанець, оповний снігу, і іно."
— звернувся господар до жінки,"""— звернувсми ґазда ид чєлідь""."
"Забирайся, поки я не пересерджусь","Машір, заків йа не пересирджусь."
"Добрий з тебе цілок, синку","Файний з тє цілок, саняку."
Дід бурчав: — Ти лихо..,Ґідо бурчав: — Тьи бідо..
Потім у мене родився син..,Витак у мене родєўси саняка..
"Вони скоро повернуться, і тоді Андрієва справа швидко піде вперед","Уни борзо вернутьсми, і тоді Андрієва інтерес борзо підь вперід."
І зараз видно: мати присмучена,І зараз видко: неня присмучена.
"Я-от танкіст, а ти хто","""ЙІ-от танкіст, а тьи хьто""."
"Обід і все, як належить!.","Полудень і всьо, єк належить!"
"Де там, уже майже п'ять","Де гинде, уже єкмай п'єть."
"Виявляється, це не так просто","Видко, шо цисе ни йо легко."
"— А може, це викрут","— А годин, цисе викрут."
"Нашорошившись, Петро слухає якийсь час","Нашорошившись, Петро слухає йикийс чєс."
"До твого ідіотизму ще далеко, але ти таки зідіотієш, напевно, за це я тобі ручусь..","Ід твого ідіотизму шє майдалі, айбо тьи прем зідіотієш, відав, за цисе йа тобі ручусь.."
Але звідки ж чекати допомоги,Айбо иків ж попіждати допомоги.
"""А скільки тому велетню треба?""",А кілько тимунь велетню тре?
Раптом від Ничипора пролунав постріл,Нараз вид Ничипора пролунав стріл.
Або й ще щось трапиться,Альбо й шє шош трапитьсми.
"Вони шукали, що б із'їсти","Уни шукали, шо б із'їсти."
А потім вона його забуде,А витак уна го забуде.
Так я от тебе знайду,Йо йа от тє знайду.
"Усі сміються, і вона сміється","Усі сміютси, і уна смієці."
Хто його так докладно інформував?,Хьто го йо докладно інформував?
Але ж куди він іде,Айбо ж куди вин йде.
Тут — аби живими бути,Гир — би живими абиде.
А тут ще цей десант,А гір шє ціс дісонт.
"Йдуть, як мусульмани до Мекки","Идут, єк мусульмани ид Мекки."
